review_body,clean,sentiment
i thought it would be as big as small paper but turn out to be just like my palm i think it is too small to read on it not very comfortable as regular kindle would definitely recommend a paperwhite instead,"['thought', 'would', 'big', 'small', 'paper', 'turn', 'like', 'palm', 'think', 'small', 'read', 'comfortable', 'regular', 'kindle', 'would', 'definitely', 'recommend', 'paperwhite', 'instead']",Neutral
this kindle is light and easy to use especially at the beach,"['kindle', 'light', 'easy', 'use', 'especially', 'beach']",Positive
didnt know how much id use a kindle so went for the lower end im happy with it even if its a little dark,"['didnt', 'know', 'much', 'id', 'use', 'kindle', 'go', 'low', 'end', 'im', 'happy', 'even', 'little', 'dark']",Positive
i am  happy with my purchase i caught it on sale at a really good price i am normally a real book person but i have a  year old who loves ripping up pages the kindle prevents that its extremely portable it fits better in my purse than a giant book and i have it loaded with lots of books i finish one and start another without having to go store it serves all my needs i picked this one over the paperwhite because the price was unbeatable and the only difference that i could see was this one wasnt backlit a simple book light from the dollar tree solves that issue this is my second kindle the first being the old keyboard model which i put down because i fell out of love with the keyboard lol and it most likely wont be my last,"['happy', 'purchase', 'catch', 'sale', 'really', 'good', 'price', 'normally', 'real', 'book', 'person', 'year', 'old', 'love', 'rip', 'page', 'kindle', 'prevents', 'extremely', 'portable', 'fit', 'well', 'purse', 'giant', 'book', 'load', 'lot', 'book', 'finish', 'one', 'start', 'another', 'without', 'go', 'store', 'serf', 'need', 'pick', 'one', 'paperwhite', 'price', 'unbeatable', 'difference', 'could', 'see', 'one', 'wasnt', 'backlit', 'simple', 'book', 'light', 'dollar', 'tree', 'solves', 'issue', 'second', 'kindle', 'first', 'old', 'keyboard', 'model', 'put', 'fell', 'love', 'keyboard', 'lol', 'likely', 'wont', 'last']",Positive
solid entry level kindle great for kids gifted for a kid of my friend and they love to use it to read more than their ipads battery is good but higher model is a bit better,"['solid', 'entry', 'level', 'kindle', 'great', 'kid', 'gift', 'kid', 'friend', 'love', 'use', 'read', 'ipads', 'battery', 'good', 'high', 'model', 'bit', 'well']",Positive
this make an excellent ebook reader dont expect much from this device except to read basic ebooks the good thing is its cheap and good to read in the sun,"['make', 'excellent', 'ebook', 'reader', 'dont', 'expect', 'much', 'device', 'except', 'read', 'basic', 'ebooks', 'good', 'thing', 'cheap', 'good', 'read', 'sun']",Positive
i ordered this for my daughter as i have the black paperwhite and i love it i read quite a bit and the larger books were driving me crazy having to hold them up while laying down or wanting to take a book on vacation and lugging around a thick paperback with this i can throw it in my bag and read anywhere its light weight easy to use the battery life lasts for weeks which makes it an all around awesome device my daughter is in public school and they offer an online library for ereaders so she can now download books for free from school you can also download your own public library app if your county offers that and read free from there as well you can shop for ebooks straight from the device through amazoncom,"['order', 'daughter', 'black', 'paperwhite', 'love', 'read', 'quite', 'bit', 'large', 'book', 'drive', 'crazy', 'hold', 'lay', 'want', 'take', 'book', 'vacation', 'lug', 'around', 'thick', 'paperback', 'throw', 'bag', 'read', 'anywhere', 'light', 'weight', 'easy', 'use', 'battery', 'life', 'last', 'week', 'make', 'around', 'awesome', 'device', 'daughter', 'public', 'school', 'offer', 'online', 'library', 'ereaders', 'download', 'book', 'free', 'school', 'also', 'download', 'public', 'library', 'app', 'county', 'offer', 'read', 'free', 'well', 'shop', 'ebooks', 'straight', 'device', 'amazoncom']",Positive
i bought my kindle about  months ago and the battery is already dead and will not charge,"['buy', 'kindle', 'month', 'ago', 'battery', 'already', 'dead', 'charge']",Positive
amazon kindle is always the best ebook upgrade every new model,"['amazon', 'kindle', 'always', 'best', 'ebook', 'upgrade', 'every', 'new', 'model']",Positive
its beyond my expectation and it can even show music score not fast turning though,"['beyond', 'expectation', 'even', 'show', 'music', 'score', 'fast', 'turning', 'though']",Positive
if you really want to have a good read on something digital this is the item youre looking for it really is lightweight and highly functional the battery lasts a long time and the screen is easy on the eyes the only difficulty sometimes is reading in extremely bright environments overall an excellent buy,"['really', 'want', 'good', 'read', 'something', 'digital', 'item', 'youre', 'look', 'really', 'lightweight', 'highly', 'functional', 'battery', 'last', 'long', 'time', 'screen', 'easy', 'eye', 'difficulty', 'sometimes', 'read', 'extremely', 'bright', 'environment', 'overall', 'excellent', 'buy']",Positive
love my kindle makes reading at night so easy and it feels like you are reading a real book,"['love', 'kindle', 'make', 'read', 'night', 'easy', 'feel', 'like', 'read', 'real', 'book']",Positive
good product for child who only need to read the books,"['good', 'product', 'child', 'need', 'read', 'book']",Positive
this kindle is a convenient size yet lettering is easy to read,"['kindle', 'convenient', 'size', 'yet', 'letter', 'easy', 'read']",Positive
i use this every day on my commute great battery life no backlight but very readable with normal lighting i like the built in dictionary email yourself pdf or mobi files for easy transfers,"['use', 'every', 'day', 'commute', 'great', 'battery', 'life', 'backlight', 'readable', 'normal', 'light', 'like', 'build', 'dictionary', 'email', 'pdf', 'mobi', 'file', 'easy', 'transfer']",Positive
it does its job but i would buy one which the screen is brighter there are times that its difficult to read because screen is not too bright,"['job', 'would', 'buy', 'one', 'screen', 'brighter', 'time', 'difficult', 'read', 'screen', 'bright']",Neutral
great product for myself and i bought it when there was great deal on it,"['great', 'product', 'buy', 'great', 'deal']",Positive
item work well and was easy to read from in day light,"['item', 'work', 'well', 'easy', 'read', 'day', 'light']",Positive
great product and service will refer to a friend and the sales man r good,"['great', 'product', 'service', 'refer', 'friend', 'sale', 'man', 'r', 'good']",Positive
everything is great except that i cant read external pdfs properly either it zooms too much of too little for kindle books it provides great experience battery life is awesome,"['everything', 'great', 'except', 'cant', 'read', 'external', 'pdfs', 'properly', 'either', 'zooms', 'much', 'little', 'kindle', 'book', 'provide', 'great', 'experience', 'battery', 'life', 'awesome']",Positive
