,id,author,instance_id,rating,review_body,review_date,review_header,review_link,review_votes,sentiment,verified_purchase
0,68,Iluvkindlle,10,3,It’s ok. Doesn’t know much. Can’t answer most of my questions. Should have gotten a google mini instead,2018-09-10,It’s ok,https://www.amazon.com/gp/customer-reviews/R1Z8V8VB45IJHF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,True
1,70,Ben Burger,10,5,So easy to use.,2018-09-10,Love it,https://www.amazon.com/gp/customer-reviews/R1B2MMZYXSLLZ4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,True
2,72,Harry,10,5,Alexa is an entertaining assistant to have around.,2018-09-10,Echo Dot,https://www.amazon.com/gp/customer-reviews/R1PC4497BGEZY2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,True
3,292,Smart Shopper,10,4,Fun and addictive.,2018-09-10,Fun gadget,https://www.amazon.com/gp/customer-reviews/R3832F09SIP392/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,True
4,594,Niva T.,10,4,I think google home assist is much smarter and works better. Although this is also great - kids love that they can do their own programs,2018-09-11,Its good but prefer google,https://www.amazon.com/gp/customer-reviews/R18CIWYFWTD6OC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,False
5,595,Iguana Mamma,10,5,This was my 7th Echo dot. I have them everywhere. I bought this one for my sister. She loves it as much as I do.,2018-09-11,Very helpful around the house and educational,https://www.amazon.com/gp/customer-reviews/R3NAKYCVSJEOHV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,True
6,819,Mark,10,4,Great product! I can’t wait to see what the next few generations will be like. This is a good entry to voice commands but far from AI that is really useful.,2018-09-11,The future looks bright.,https://www.amazon.com/gp/customer-reviews/R5DJJ8SVI0OOX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,True
7,864,Cata,10,4,"I personally only use it for playing Spotify, didn't really use it for anything else.",2018-09-11,Only using it for music,https://www.amazon.com/gp/customer-reviews/R1M76MJPN70VOH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,True
8,923,Amazon Customer,10,5,Perfect for an alarm clock and fun for music and general knowledge.,2018-09-11,Alison,https://www.amazon.com/gp/customer-reviews/R15HWS6IDS9TZR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,True
9,1140,Cookie,10,5,"If you live alone, this is the perfect thing for you. I just lost my dog, and was feeling so lonely. Then my Dot arrived in the mail! I am no longer alone. Alexa talks to me, and I can actually have a conversation with her, if I remember to say Alexa first. I can play trivia with her. She has made my loneliness a thing of the past. Thank God for Alexa!!",2018-09-11,Love my Dot!!,https://www.amazon.com/gp/customer-reviews/R3C05CKFI3JTUO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,True
10,1141,Smokey Stover,10,5,I like the simplicity of the Dot and its excellent voice recognition capability,2018-09-11,Helpful,https://www.amazon.com/gp/customer-reviews/REEFFVPFWUJ5T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,True
11,1166,W. Simard,10,4,"My biggest complaint on these Alexa units is the search engine. It is not good compared to Google. With Google, it gets good results 9 out of 10 times. Alexa, you ask her questions, and she says she is not sure, all the time. Amazon should get a partnership with Google, or someone, to use their search engine. That is the biggest complaint. The 2nd problem is that only a few devices will link with it. For my thermostat, the company has an app, and it would seem that Amazon would make it easy to link the app to a skill in Alexa, but they don't and there are only 2 companies that make thermostats that will link to Alexa. Honeywell and one other. I looked at buying Honeywell, but they are really expensive. The 2nd one is even more expensive than Honeywell. And there is no way to ask Amazon to add apps or skills to Alexa. You would think they would want customer feedback. Microsoft has improved their feedback greatly. I was very surprised to see how well they do feedback now. Amazon is huge, and they should be able to add links to apps and make it a new skill, or write new apps to link to thermostats that have apps. I don't know why they can't do that.",2018-09-11,The search engine is not very good,https://www.amazon.com/gp/customer-reviews/R3RI3EILY0V98D/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,True
12,1167,Robert B,10,5,I was a bit skeptical at first about a voice assistant. Would I really use it? What would I do with it? Does it make life more convenient? Well I am using it and more and more. It’s much more convenient to set a timer when I am cooking dinner; to remind me to take medication; what’s the weather forecast? I only just received the product so I’m only beginning to explore the possibilities. The speaker is plenty good for tasks. I plan on buying a separate speaker to listen to music.,2018-09-11,Great!,https://www.amazon.com/gp/customer-reviews/R642YM5929CC0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,True
13,1168,Anne-Marie,10,5,Love my echo! Reception for my local NPR station is spotty in my house. Now I can listen w/o the background static.,2018-09-11,It's not just hype. These things are great!,https://www.amazon.com/gp/customer-reviews/R9KLKJJ3968TU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,True
14,1221,ANNE,10,5,Awesome..works like a charm and tons of stuff to do ...Alarm clock radio..facts….Weather...Awesome Great Kids birthday gift ...Highly recommend!!,2018-09-11,FABULOUS,https://www.amazon.com/gp/customer-reviews/R2XVFTVRDBZB5M/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,True
15,1296,Ginger Z,10,5,Very fun and informational. The setup took a while but all in all works fine. I enjoy being able to play favorite songs by request. I bought one for my son and granddaughter. They are happy with it as well.,2018-09-11,So easy to use,https://www.amazon.com/gp/customer-reviews/R2SUPECXI6HB7J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,True
16,1297,Jewell K. Wilson,10,5,"If you forget to set your alarm you don't have to get out of bed, just speak a little louder Alexa set the alarm to 6 AM. This is just one of many features that convinced me to purchase another one. As this is our 2nd one and when they are on sale I know we will be getting more.",2018-09-11,Great device.,https://www.amazon.com/gp/customer-reviews/R11V65EMC15YJT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,True
17,1312,Ron Stabler,10,4,Works great sound good,2018-09-11,Smaller then Alexis but thats the point,https://www.amazon.com/gp/customer-reviews/R2XQJ9TBXKGGGP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,True
18,1400,Laura Walker,10,2,"I don't know if we didn't set it up properly, but our Echo Dot doesn't work as well as the one my mother received as a gift. I was so impressed with hers, that when the opportunity came along for me to get one, I jumped at the chance. When we ask Alexa a question, it will answer. But when we have asked for additional information it will repeat the information just given. Great for giving me the time, the weather, and setting a timer. Anything factual is good. (""Who is the Gov. of Virginia,?""for example.) However, if I ask for a recipe and I don't like the one given, it will just repeat the same recipe if I ask for something different. It has also started talking when we haven't signaled it. (Nothing said sounded anything like Alexa.) I'm not too upset that my Echo not working as expected. I caught the deal where I could get it for $15.00. If I had paid $50.00, I'd be pretty upset.",2018-09-11,Not very impressed.,https://www.amazon.com/gp/customer-reviews/R13P4SNMMDIFMO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,True
19,1401,pbaquerizo,10,5,"Hace lo esperado, los micrófonos funcionan muy bien desde lejos",2018-09-11,Funciona bien,https://www.amazon.com/gp/customer-reviews/R3B051OQZCILCL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,True
20,1418,jim jones,10,5,Love it can do just about anything,2018-09-11,Awesome,https://www.amazon.com/gp/customer-reviews/R27A7JUN419JF3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,True
21,1478,Wyatt,10,3,Just another Alexa device,2018-09-11,Good product,https://www.amazon.com/gp/customer-reviews/R29U6C8ZXKD6FY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,True
22,1479,Vipul Patel,10,5,good product thank you amazon.,2018-09-11,good,https://www.amazon.com/gp/customer-reviews/R77EVN6SQLMIO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01DFKC2SO,0.0,0,True
